id,protocol,prefix
995,IPv6,2001:12f8:0:9::/64
863,IPv4,200.219.143.0/24
769,IPv6,2001:12f8:0:6::/64
648,IPv4,195.42.144.0/23
649,IPv6,2001:7F8:43::/64
627,IPv4,91.213.73.0/24
332,IPv4,195.60.82.64/26
331,IPv6,2001:7f8:4d::/48
333,IPv4,
334,IPv4,
673,IPv4,200.136.37.0/24
335,IPv4,
344,IPv4,
800,IPv4,37.49.236.0/23
547,IPv6,2001:7f8:54::/64
619,IPv4,95.140.128.0/23
996,IPv6,2001:7f8:5f:ffff::/64
353,IPv4,82.193.63.0/24
509,IPv4,185.1.19.0/26
935,IPv6,2001:7F8:7D::/64
816,IPv4,193.169.198.0/23
1330,IPv6, 2001:7f8:58::/48
839,IPv4,206.126.115.0/24
359,IPv6,2001:504:17:115::/64
549,IPv4,198.32.120.0/24
998,IPv6,
1071,IPv4,217.174.157.0/24
821,IPv4,185.1.30.0/24
999,IPv6,2001:7f8:8e::11/118
724,IPv4,206.223.127.0/24
723,IPv6,2001:504:19:2::/64
606,IPv4,200.0.19.0/24
1163,IPv6,2001:13c7:6007::/48
767,IPv4, 200.192.108.0/24
437,IPv6,2001:12f8:0:11::/64
911,IPv4,200.219.147.0/24
1000,IPv6,2001:12f8:0:10::/64
1081,IPv4,206.126.114.0/24	
1133,IPv6,2001:504:17:114::/64
929,IPv4,
628,IPv4,194.190.119.0/24
414,IPv6,2001:7f8:20:801::119:0
380,IPv4,193.37.144.0/24
367,IPv6,2001:7f8:4a::/48
604,IPv4,91.213.236.0/24
1286,IPv6,2001:7f8:68::/48
670,IPv4,
1058,IPv6,
779,IPv4,91.234.18.0/24
781,IPv4,91.217.231.0/24
778,IPv6,2001:7F8:67:0::/64
780,IPv6,2001:7F8:67:9::/64
525,IPv4,92.60.70.0/24
1001,IPv6,2A01:658:FFFF::/48
840,IPv4,188.93.170.0/23
424,IPv6,2001:7F8:4C::/48
758,IPv4,195.246.227.0/24
1002,IPv6, 2001:7f8:16::/64
1078,IPv4,
1050,IPv4,
799,IPv4,193.25.180.255/23
1003,IPv6,2001:7f8:63::/48
1175,IPv4,
854,IPv4,193.34.200.0/24
1004,IPv6,
923,IPv4,194.117.52.0/24
524,IPv4,119.110.117.0/24
522,IPv6,2404:c000:4004::/64
520,IPv4,119.110.115.0/24
521,IPv4,119.110.118.0/24
